1,2,3
8.71E-05,0.000116166,7.79E-05
9.57E-05,0.000131734,9.96E-05
0.000185749,0.000220138,0.000198168
0.000353581,0.000379742,0.000371266
0.000455508,0.000472812,0.000476402
0.000289079,0.000301762,0.000306142
-3.72E-05,-2.93E-05,-4.04E-05
-0.000143553,-0.000150332,-0.000180057
2.69E-05,3.98E-06,-2.85E-05
0.000114545,9.64E-05,7.90E-05
9.60E-05,9.50E-05,9.95E-05
8.12E-05,8.57E-05,0.000107062
0.000109837,0.000100478,0.000126783
0.000132719,0.000102146,0.000122988
0.000156452,0.000115133,0.000127978
0.000136738,0.000103637,0.000112529
3.04E-05,2.04E-05,2.82E-05
-0.000163147,-0.000151996,-0.000148053
-0.000166771,-0.00015136,-0.000157049
-6.17E-07,4.45E-06,-1.04E-05
0.000154782,0.000148776,0.000134866
0.000145025,0.000137415,0.000134399
0.000131592,0.000125223,0.000135672
0.000305019,0.000300798,0.000323369
0.000371383,0.000379553,0.000416138
6.99E-05,0.0001113,0.000162997
-0.00046485,-0.000382913,-0.000324621
-0.000524076,-0.000430952,-0.0003826
-0.00026598,-0.000202729,-0.000178601
-0.000135405,-0.000112797,-0.000114507
-0.000131108,-0.000142862,-0.000159431
-0.00012807,-0.000156799,-0.000176723
-4.10E-05,-6.23E-05,-7.81E-05
1.87E-05,2.13E-05,1.52E-05
3.89E-05,5.92E-05,6.65E-05
-7.90E-05,-6.18E-05,-4.36E-05
-0.000264376,-0.000263265,-0.000245835
-0.000315895,-0.000331842,-0.000326334
-0.000136901,-0.000161732,-0.000168527
-9.56E-05,-0.000115473,-0.000127146
-0.000173151,-0.000186008,-0.000194944
-0.000296383,-0.000309833,-0.000313318
-0.000257043,-0.000278974,-0.000279342
-1.62E-05,-4.58E-05,-4.62E-05
0.000157997,0.000128296,0.000127687
0.000224817,0.000193314,0.000195431
0.00019055,0.000148044,0.000151226
-1.42E-05,-6.10E-05,-6.91E-05
-0.000344586,-0.000372779,-0.000406621
-0.000591331,-0.000584065,-0.000647166
-0.000700008,-0.000662607,-0.000745085
-0.000568263,-0.000524575,-0.000611179
-0.000404744,-0.000371836,-0.000450451
-0.0003916,-0.000372559,-0.000436118
-0.000407517,-0.000402532,-0.00044758
-0.000358304,-0.000368888,-0.000393444
-0.000212205,-0.000234484,-0.000237725
-0.000207162,-0.000224758,-0.000208035
-0.000491583,-0.000485337,-0.000455192
-0.000781293,-0.000750195,-0.000720585
-0.000634297,-0.000600939,-0.000584882
-0.000149746,-0.00013565,-0.000129988
0.000253807,0.000234276,0.000250674
0.000309635,0.000256708,0.000298972
-0.000406992,-0.000466636,-0.0004123
-0.000781643,-0.000824834,-0.000784118
-0.000756574,-0.000788404,-0.000771047
-0.001063691,-0.00107136,-0.001079078
-0.001269537,-0.001267716,-0.001292729
-0.00108054,-0.001086352,-0.001118806
-0.000732561,-0.000742885,-0.000773411
-0.000571213,-0.000571403,-0.000591469
-0.000602952,-0.000585438,-0.000591382
-0.000750547,-0.000722167,-0.000717602
-0.000802612,-0.000774382,-0.000766431
-0.000768406,-0.000751382,-0.000743242
-0.000557399,-0.000561159,-0.000551204
-0.000314124,-0.000341349,-0.000325233
